name,cluster,environment,period_ms,pdot,pdot_source,logP,logPdot_abs,log_b_proxy
J1735-3028D,Terzan 1,globular_cluster,5.3864,2.7700e-18,freire,-2.2687,-17.5575,-9.9131
J1735-3028E,Terzan 1,globular_cluster,3.0783,5.5900e-19,freire,-2.5117,-18.2526,-10.3821
J1735-3028F,Terzan 1,globular_cluster,5.2138,-2.0500e-18,freire,-2.2828,-17.6882,-9.9855
J1735-3028G,Terzan 1,globular_cluster,3.9179,1.3800e-19,freire,-2.4069,-18.8601,-10.6335
J1736-4444A,NGC 6388,globular_cluster,5.2980,2.4100e-18,freire,-2.2759,-17.6180,-9.9469
J1736-4444A,NGC 6388,globular_cluster,2.9950,2.4700e-18,freire,-2.5236,-17.6073,-10.0655
J1737-0314A,M14,globular_cluster,1.9800,9.5500e-20,freire,-2.7033,-19.0200,-10.8617
J1737-0314B,M14,globular_cluster,8.5200,8.1000e-19,freire,-2.0696,-18.0915,-10.0805
J1737-0314C,M14,globular_cluster,8.4600,8.0000e-19,freire,-2.0726,-18.0969,-10.0848
J1737-0314D,M14,globular_cluster,2.8900,7.8800e-19,freire,-2.5391,-18.1035,-10.3213
J1737-0314E,M14,globular_cluster,2.2800,8.0400e-19,freire,-2.6421,-18.0947,-10.3684
J1740-5340,NGC 6397,globular_cluster,0.9170,3.6503e-20,freire,-3.0376,-19.4377,-11.2376
J1740-5340B,NGC 6397,globular_cluster,5.7870,-6.0000e-21,freire,-2.2375,-20.2218,-11.2297
J1748-2446A,Terzan 5,globular_cluster,0.6020,1.1563e-19,freire,-3.2204,-18.9369,-11.0787
J1748-2446C,Terzan 5,globular_cluster,8.4361,-6.0600e-19,freire,-2.0739,-18.2175,-10.1457
J1748-2446D,Terzan 5,globular_cluster,0.6930,4.7140e-20,freire,-3.1593,-19.3266,-11.2429
J1748-2446E,Terzan 5,globular_cluster,2.1978,-1.8000e-20,freire,-2.6580,-19.7447,-11.2014
J1748-2446F,Terzan 5,globular_cluster,5.5401,4.0000e-21,freire,-2.2565,-20.3979,-11.3272
J1748-2446G,Terzan 5,globular_cluster,21.6719,3.9000e-19,freire,-1.6641,-18.4089,-10.0365
J1748-2446H,Terzan 5,globular_cluster,4.9259,-8.3000e-20,freire,-2.3075,-19.0809,-10.6942
J1748-2446I,Terzan 5,globular_cluster,9.5702,-7.1000e-20,freire,-2.0191,-19.1487,-10.5839
J1748-2446J,Terzan 5,globular_cluster,0.9480,8.0338e-19,freire,-3.0232,-18.0951,-10.5591
J1748-2446K,Terzan 5,globular_cluster,2.9697,-9.4000e-20,freire,-2.5273,-19.0269,-10.7771
J1748-2446L,Terzan 5,globular_cluster,2.2447,-1.7000e-20,freire,-2.6488,-19.7696,-11.2092
J1748-2446M,Terzan 5,globular_cluster,3.5696,4.9000e-19,freire,-2.4474,-18.3098,-10.3786
J1748-2446N,Terzan 5,globular_cluster,8.6669,5.5000e-19,freire,-2.0621,-18.2596,-10.1609
J1748-2446O,Terzan 5,globular_cluster,1.6766,-6.9000e-20,freire,-2.7756,-19.1612,-10.9684
J1748-2446P,Terzan 5,globular_cluster,1.7286,2.6000e-19,freire,-2.7623,-18.5850,-10.6737
J1748-2446Q,Terzan 5,globular_cluster,2.8120,-3.6000e-20,freire,-2.5510,-19.4437,-10.9973
J1748-2446R,Terzan 5,globular_cluster,5.0285,4.7000e-19,freire,-2.2986,-18.3279,-10.3132
J1748-2446S,Terzan 5,globular_cluster,6.1166,6.4000e-20,freire,-2.2135,-19.1938,-10.7037
J1748-2446T,Terzan 5,globular_cluster,7.0849,3.1000e-19,freire,-2.1497,-18.5086,-10.3292
J1748-2446U,Terzan 5,globular_cluster,3.2891,3.0000e-19,freire,-2.4829,-18.5229,-10.5029
J1748-2446V,Terzan 5,globular_cluster,2.0725,-9.5000e-20,freire,-2.6835,-19.0223,-10.8529
J1748-2446W,Terzan 5,globular_cluster,4.2052,1.2000e-19,freire,-2.3762,-18.9208,-10.6485
J1748-2446X,Terzan 5,globular_cluster,2.9993,5.9000e-20,freire,-2.5230,-19.2291,-10.8761
J1748-2446Y,Terzan 5,globular_cluster,2.0482,1.5000e-19,freire,-2.6886,-18.8239,-10.7563
J1748-2446Z,Terzan 5,globular_cluster,2.4626,-8.6000e-20,freire,-2.6086,-19.0655,-10.8371
J1748-2446aa,Terzan 5,globular_cluster,5.7880,-4.4000e-19,freire,-2.2375,-18.3565,-10.2970
J1748-2446ab,Terzan 5,globular_cluster,5.1197,4.2000e-19,freire,-2.2908,-18.3768,-10.3338
J1748-2446ac,Terzan 5,globular_cluster,5.0869,2.3000e-19,freire,-2.2935,-18.6383,-10.4659
J1748-2446ad,Terzan 5,globular_cluster,1.3960,-3.4000e-20,freire,-2.8551,-19.4685,-11.1618
J1748-2446ae,Terzan 5,globular_cluster,3.6586,-5.7000e-19,freire,-2.4367,-18.2441,-10.3404
J1748-2446af,Terzan 5,globular_cluster,3.3043,-2.3000e-19,freire,-2.4809,-18.6383,-10.5596
J1748-2446ag,Terzan 5,globular_cluster,4.4480,1.2000e-20,freire,-2.3518,-19.9208,-11.1363
J1748-2446ah,Terzan 5,globular_cluster,4.9652,5.7000e-19,freire,-2.3041,-18.2441,-10.2741
J1748-2446ai,Terzan 5,globular_cluster,21.2284,1.4000e-18,freire,-1.6731,-17.8539,-9.7635
J1748-2446aj,Terzan 5,globular_cluster,2.9589,1.4123e-19,freire,-2.5289,-18.8501,-10.6895
J1748-2446ak,Terzan 5,globular_cluster,1.8901,8.8495e-20,freire,-2.7235,-19.0531,-10.8883
J1748-2446al,Terzan 5,globular_cluster,5.9500,2.3650e-18,freire,-2.2255,-17.6262,-9.9258
J1748-2446am,Terzan 5,globular_cluster,2.9338,-1.3680e-19,freire,-2.5326,-18.8639,-10.6982
J1748-2446an,Terzan 5,globular_cluster,4.8020,1.5575e-19,freire,-2.3186,-18.8076,-10.5631
J1748-2446ao,Terzan 5,globular_cluster,2.2744,8.6979e-20,freire,-2.6431,-19.0606,-10.8519
J1748-2446ap,Terzan 5,globular_cluster,3.7447,3.0700e-19,freire,-2.4266,-18.5129,-10.4697
J1748-2446aq,Terzan 5,globular_cluster,12.5219,-7.1620e-19,freire,-1.9023,-18.1450,-10.0236
J1748-2446ar,Terzan 5,globular_cluster,1.9528,-2.6480e-19,freire,-2.7093,-18.5771,-10.6432
J1748-2446as,Terzan 5,globular_cluster,2.3265,2.5598e-19,freire,-2.6333,-18.5918,-10.6125
J1748-2446at,Terzan 5,globular_cluster,2.1882,-5.8997e-20,freire,-2.6599,-19.2292,-10.9445
J1748-2446au,Terzan 5,globular_cluster,4.5482,-1.0680e-19,freire,-2.3422,-18.9714,-10.6568
J1748-2446av,Terzan 5,globular_cluster,1.8495,-4.2505e-20,freire,-2.7330,-19.3716,-11.0523
J1748-2446aw,Terzan 5,globular_cluster,13.0491,1.3065e-18,freire,-1.8844,-17.8839,-9.8842
J1748-2446ax,Terzan 5,globular_cluster,1.9435,-9.5495e-21,freire,-2.7114,-20.0200,-11.3657
J1748-2021B,NGC 6440,globular_cluster,16.7601,-3.2913e-19,freire,-1.7757,-18.4826,-10.1292
J1748-2021C,NGC 6440,globular_cluster,6.2269,-5.9840e-20,freire,-2.2057,-19.2230,-10.7144
J1748-2021D,NGC 6440,globular_cluster,0.5500,1.3496e-19,freire,-3.2596,-18.8698,-11.0647
J1748-2021E,NGC 6440,globular_cluster,16.2640,3.1240e-19,freire,-1.7888,-18.5053,-10.1470
J1748-2021F,NGC 6440,globular_cluster,3.7936,-1.0550e-20,freire,-2.4209,-19.9767,-11.1988
J1748-2021G,NGC 6440,globular_cluster,5.2153,-1.5952e-19,freire,-2.2827,-18.7972,-10.5399
J1748-2021H,NGC 6440,globular_cluster,2.8485,1.8998e-19,freire,-2.5454,-18.7213,-10.6333
J1750-3703B,NGC 6441,globular_cluster,6.0745,1.9200e-20,freire,-2.2165,-19.7167,-10.9666
J1750-3703C,NGC 6441,globular_cluster,26.5687,-9.9600e-19,freire,-1.5756,-18.0017,-9.7887
J1750-3703D,NGC 6441,globular_cluster,5.1399,4.9280e-19,freire,-2.2890,-18.3073,-10.2982
J1750-3703F,NGC 6441,globular_cluster,6.0066,2.2821e-18,freire,-2.2214,-17.6417,-9.9315
J1750-3703G,NGC 6441,globular_cluster,5.3523,2.2920e-18,freire,-2.2715,-17.6398,-9.9556
J1750-3703H,NGC 6441,globular_cluster,4.6529,2.2725e-18,freire,-2.3323,-17.6435,-9.9879
J1750-3703I,NGC 6441,globular_cluster,4.9764,2.3074e-18,freire,-2.3031,-17.6369,-9.9700
J1751-3116A,Terzan 6,globular_cluster,5.3329,3.8308e-18,freire,-2.2730,-17.4167,-9.8449
J1801-0857A,NGC 6517,globular_cluster,7.1756,-5.0992e-19,freire,-2.1441,-18.2925,-10.2183
J1801-0857B,NGC 6517,globular_cluster,28.9616,2.2034e-18,freire,-1.5382,-17.6569,-9.5975
J1801-0857C,NGC 6517,globular_cluster,3.7387,-6.2980e-20,freire,-2.4273,-19.2008,-10.8140
J1801-0857D,NGC 6517,globular_cluster,1.2020,4.2265e-20,freire,-2.9201,-19.3740,-11.1471
J1801-0857E,NGC 6517,globular_cluster,7.6017,-1.0360e-18,freire,-2.1191,-17.9846,-10.0519
J1801-0857F,NGC 6517,globular_cluster,24.8920,-2.6708e-18,freire,-1.6039,-17.5734,-9.5886
J1801-0857H,NGC 6517,globular_cluster,5.6427,3.4310e-20,freire,-2.2485,-19.4646,-10.8565
J1801-0857I,NGC 6517,globular_cluster,3.2542,-1.6420e-20,freire,-2.4876,-19.7846,-11.1361
J1801-0857K,NGC 6517,globular_cluster,9.5905,8.1800e-19,freire,-2.0182,-18.0872,-10.0527
J1801-0857L,NGC 6517,globular_cluster,6.0573,-3.3800e-20,freire,-2.2177,-19.4711,-10.8444
J1801-0857M,NGC 6517,globular_cluster,5.3568,4.8586e-19,freire,-2.2711,-18.3135,-10.2923
J1801-0857N,NGC 6517,globular_cluster,4.9946,-5.3150e-19,freire,-2.3015,-18.2745,-10.2880
J1801-0857O,NGC 6517,globular_cluster,4.2871,1.2139e-19,freire,-2.3678,-18.9158,-10.6418
J1801-0857P,NGC 6517,globular_cluster,5.5361,1.8305e-18,freire,-2.2568,-17.7374,-9.9971
