CID,sn_ra,sn_dec,sn_z,x1,HOST_LOGMASS,sigma_host,sigma_err,sdss_z,sdss_ra,sdss_dec,match_sep_arcsec,plate,mjd,fiberID,sigma_source
15129,318.902,-0.3214,0.19621,-0.68294,10.971,121.004845,14.113771,0.19827604,318.9021,-0.32170829,1.1667688813589268,1026,52558,176,SDSS_specObj
15161,35.8429,0.819,0.24865,-0.242653,11.065,83.28799,22.609337,0.24953662,35.842633,0.819039,0.9713026441061854,1508,52944,452,SDSS_specObj
15201,337.519,0.0036,0.20748,-1.87784,11.312,186.87434,11.405464,0.20882322,337.51892,0.00312606,1.730320155815804,4203,55447,600,SDSS_specObj
15203,15.7347,0.1831,0.20329,1.12434,10.219,95.192154,20.02387,0.20442186,15.734774000000016,0.18302006,0.3921579608212343,4226,55475,535,SDSS_specObj
15219,34.6111,0.2267,0.2465,-0.144574,11.081,182.84267,17.7001,0.24751587,34.61076700000001,0.22611786,2.414347583715935,4237,55478,605,SDSS_specObj
15222,2.8534,0.7027,0.19817,-1.31897,11.5,172.98434,18.933916,0.19942957,2.8524105,0.70200047,4.362251407940237,388,51793,584,SDSS_specObj
15234,16.9583,0.8282,0.13535,0.89204,9.98362,118.69451,22.858309,0.1363047,16.958075,0.828592,1.6270981218082612,1498,52914,577,SDSS_specObj
15356,335.053,0.4099,0.27351,-0.662822,10.743,177.73654,39.789177,0.27487335,335.05331,0.40993521,1.1231470675316684,4201,55443,773,SDSS_specObj
15365,354.557,1.2491,0.18667,0.80934,11.178,129.0864,11.145564,0.18800247,354.55664,1.2490666,1.3012592048573484,4213,55449,622,SDSS_specObj
15421,33.7416,0.6025,0.18459,0.20985,10.166,38.628582,36.034756,0.18536833,33.741277,0.602724,1.4150036172957061,1507,53763,505,SDSS_specObj
15425,55.5611,0.4783,0.15948,0.98515,10.526,110.06734,10.406463,0.1598923,55.561089,0.47835487,0.20146201064478556,1157,52643,492,SDSS_specObj
15433,14.8796,-0.2565,0.2195,-0.028294,10.806,134.44528,15.787509,0.22075565,14.879389000000003,-0.25672784,1.1179212835398695,3735,55209,480,SDSS_specObj
15440,39.7207,0.0901,0.26141,-0.545934,10.852,96.973755,21.751099,0.26226586,39.720573,0.090104888,0.4575379442488727,3651,55247,520,SDSS_specObj
15443,49.8674,-0.318,0.18136,1.58154,10.339,140.2789,32.10936,0.18190828,49.867447,-0.31798801,0.1746164054487084,1565,53002,176,SDSS_specObj
15459,340.701,-0.9018,0.1256,0.37953,8.73681,178.32457,64.33542,0.12678935,340.70145,-0.90175892,1.62653644482169,4204,55470,50,SDSS_specObj
15461,326.848,-0.4947,0.18493,-0.163539,10.516,94.81687,23.947374,0.18620348,326.84821,-0.49476256,0.7888064623902997,4196,55478,146,SDSS_specObj
