apogee_id,teff,logg,m_h,mass,age,distance,age_gyr
2M13440370+2755011,4823.926,2.623279,-0.66355,1.029291,6561577000.0,2463.52,6.561577
2M13442105+2808345,3934.813,1.096454,-1.0061,0.9474027,7681996000.0,5056.078,7.681996
2M13445060+2801113,4896.309,3.14732,-0.1216,1.164595,6090992000.0,591.1379,6.090992
2M13445804+2803327,4834.0,3.067362,-0.17575,1.086425,7400866000.0,884.1486,7.400866
2M13445985+2810548,5085.669,2.445197,-0.54299,1.6685,1563595000.0,3853.345,1.563595
2M13450736+2803398,4580.805,2.164205,-0.58787,1.010533,7254696000.0,656.5563,7.254696
2M13450839+2841092,4351.567,1.823843,-0.28552,1.05953,7442620000.0,8597.048,7.44262
2M13451537+2929418,4846.344,2.777168,-0.70131,1.014526,6774741000.0,2224.492,6.774741
2M13451878+2922267,4919.494,3.372786,-0.10846,1.448629,3000196000.0,1308.613,3.000196
2M13452795+2734001,4188.03,1.05116,-1.1254,1.412159,2078262000.0,39990.27,2.078262
2M13453415+2806301,4849.124,2.909341,-0.47802,0.9638436,9110879000.0,1922.759,9.110879
2M13454556+2909250,4289.692,1.535126,-0.6943,0.9666274,8020615000.0,2544.176,8.020615
2M13454777+2848164,4968.185,2.703436,-0.91046,0.9339646,8311842000.0,3485.487,8.311842
2M13461519+2732031,4973.758,3.045453,-0.63416,1.014941,6979975000.0,2508.331,6.979975
2M13461577+2819214,5109.235,2.416208,-0.69917,1.050394,6028997000.0,6275.84,6.028997
2M13461710+2826582,4891.913,3.360852,-0.25738,1.102459,6627511000.0,987.2509,6.627511
2M13463328+2701377,4944.316,3.365605,-0.124,1.286809,4362080000.0,895.0474,4.36208
2M13464012+2818584,5008.522,2.415559,-0.58349,1.021744,7002436000.0,2180.248,7.002436
2M13464021+2722197,4768.195,2.770828,-0.34312,0.963369,9966960000.0,743.9981,9.96696
2M13464745+2830324,5076.435,2.395783,-0.74687,1.010885,6727147000.0,1856.967,6.727147
2M13465677+2849487,5012.768,3.204029,-0.40221,1.155136,5149599000.0,589.6152,5.149599
2M13465811+2858047,4755.753,2.397027,-0.3687,0.9655818,9717983000.0,2136.234,9.717983
2M13470876+2727048,4477.923,2.000963,-0.35414,1.112089,6024083000.0,1685.015,6.024083
2M13471172+2857471,5051.752,2.211162,-2.4957,0.4251465,20436070000.0,3818.087,20.43607
2M13471209+2837219,4981.149,2.520744,-0.43492,1.191564,4562128000.0,969.7235,4.562128
2M13472474+2745581,4781.244,2.370988,-0.6613,1.034161,6464296000.0,2399.066,6.464296
2M13482073+2815549,4891.034,3.420281,-0.37911,1.123584,5727107000.0,2714.413,5.727107
2M13484880+2825548,5058.494,3.380532,-0.49727,1.069809,6285055000.0,1903.028,6.285055
2M13253806+2803078,5024.169,3.462157,-0.070295,1.4255,3245571000.0,449.5328,3.245571
