apogee_id,teff,logg,m_h,alpha_m,fe_h,c_fe,n_fe,glon,glat,dist50,dist16,dist84,mass50
2M17371776-2721356,4683.737,2.65501,-0.068881,-0.003776999,-0.067189,-0.013274,0.011863,0.368881851,2.39065623,1.534491,1.433878,1.634731,1.175486
2M17371833-2810554,3456.151,0.7493937,0.25605,0.0178051,0.24841,0.03745298,0.10838,359.675262,1.94847655,6.546272,6.176346,7.119734,1.025373
2M17371881-2717122,3709.024,1.070042,0.18581,0.0515,0.17486,0.040777,0.16447,0.432835609,2.42652583,7.702942,7.41576,8.307467,1.018057
2M17371964-2702144,3529.365,0.771184,0.19079,0.0190249,0.18183,0.04870999,0.087566,0.645335793,2.55744267,7.195063,6.331707,8.097872,1.404736
2M16590219-2252162,5131.857,2.511268,-0.68184,0.265445,-0.679,0.18502,0.22161,359.146942,12.0649719,6.267792,6.107728,7.336709,0.8176088
2M16590327-2137509,4942.341,2.365772,-0.619,0.274995,-0.61693,0.14652,0.03066498,0.1706184,12.7992773,7.157855,7.013458,7.391146,0.8677563
2M16590552-2253002,4195.612,1.383114,-0.59488,0.308965,-0.59323,0.10042,0.17235,359.144684,12.0474434,8.291687,7.501378,8.759299,1.189674
2M16590728-2222481,4607.579,2.522579,-0.16409,0.180065,-0.156,0.1052,0.14579,359.562531,12.3417711,7.69719,7.287539,8.279239,1.057405
2M16590730-2206341,4613.326,2.423474,0.23766,0.0173732,0.23199,0.017009,0.31796,359.785339,12.5025492,2.134688,2.097869,2.189855,1.300491
2M16591007-2156224,4497.716,1.618397,-1.1529,0.284675,-1.1539,-0.1376899,0.1320701,359.931854,12.5948677,4.224282,4.133524,4.307317,0.8501454
2M16591114-2218447,4616.927,2.597926,-0.28989,0.199405,-0.29081,0.069352,0.12709,359.627228,12.3699846,5.798644,5.520998,6.050189,0.9721296
2M16591198-2215572,4004.579,1.221199,-0.40613,0.270635,-0.40875,0.14728,0.18854,359.667511,12.3950539,3.467196,3.294371,3.751242,1.078588
2M16591771-2149108,4327.913,1.746071,-0.51875,0.295515,-0.52433,0.093364,0.13473,0.0487230495,12.6422434,5.269525,5.154438,5.394675,0.9508521
2M16592086-2248241,5035.569,2.826857,-0.11715,0.007662,-0.12749,-0.19336,0.35613,359.243561,12.0458326,0.4623382,0.4620077,0.4664957,1.856282
2M16592105-2202195,4908.06,3.093523,-0.068366,0.0279239,-0.072933,-0.06517,0.157697,359.875885,12.5018415,0.8692699,0.8685895,0.910529,1.243
2M16592186-2145492,4311.705,1.509706,-0.70001,0.275505,-0.70011,0.04459,0.19533,0.104702808,12.6625261,3.486478,3.391889,3.822888,0.9463649
2M16592273-2135329,4141.803,1.601911,-0.38431,0.268975,-0.38758,0.15876,0.16071,0.248114035,12.761261,4.436921,4.341237,4.498718,0.9701738
2M16592279-2157476,4951.604,2.393747,-0.57474,0.322795,-0.58449,0.2236,0.19614,359.942261,12.5412579,5.845475,5.733773,5.995628,0.8619837
2M16592681-2236070,4750.533,2.451372,-0.020185,0.006166,-0.029099,-0.08842,0.231964,359.425751,12.1493034,1.961853,1.88472,1.998862,1.159097
2M16592703-2144112,4767.538,2.389038,-0.22907,0.209635,-0.22334,0.14249,0.11867,0.139330506,12.6625309,7.162286,7.022189,7.382853,0.9286039
2M16593100-2240390,4364.196,1.366525,-1.19,0.292805,-1.1721,-0.2854902,0.1556699,359.373444,12.0914087,7.526802,7.066111,7.631849,0.8522388
2M16593116-2201356,3969.061,1.212114,-0.11514,0.124001,-0.1274,0.044648,0.22449,359.909668,12.4776525,8.376504,7.906926,9.284509,1.315404
2M16593134-2211573,4284.538,0.9045608,-1.5907,0.253845,-1.5612,-0.5161301,0.46645,359.767822,12.3745899,7.275351,6.936255,7.474832,0.7726841
2M16593187-2204216,5138.363,3.058304,-0.49928,0.263255,-0.49,0.16851,0.16835,359.873352,12.4480839,5.493078,5.114957,6.412823,1.690634
2M16593423-2224073,4325.065,2.125472,-0.027975,0.172795,-0.046819,0.035525,0.349444,359.607605,12.2451897,2.231956,2.085777,2.372324,1.263496
2M16593613-2246428,4633.63,2.707405,0.078388,0.046763,0.054211,-0.0004790016,0.321317,359.302399,12.0154266,1.174333,1.156429,1.20459,1.317353
2M16593742-2210593,4351.182,1.780683,-0.59308,0.314825,-0.57683,0.09660006,0.10796,359.795319,12.3652716,14.1443,13.56786,14.59781,0.9329996
2M16593786-2201416,4817.878,2.424651,-0.41214,0.248485,-0.42197,0.08510602,0.11935,359.924042,12.4558239,6.434726,6.254924,6.737083,0.9551192
2M16593846-2241342,4994.088,2.628417,-0.50067,0.231715,-0.50461,0.18974,0.1354,359.378296,12.0592117,6.117103,5.945748,6.67721,1.587992
2M16594323-2208139,4280.747,1.338574,-0.78782,0.310575,-0.78415,0.02433401,0.29773,359.846802,12.3745098,8.309723,6.83835,8.683911,1.133281
2M16594361-2155105,4702.112,1.468494,-1.3945,-0.070501,-1.352,-0.8320401,-0.00799799,0.0271446668,12.5023565,6.349295,5.93805,7.018658,0.8051212
2M16594411-2221088,4846.886,2.343136,-0.37827,0.183715,-0.39164,-0.010721,0.38096,359.671539,12.2440052,2.982089,2.872746,3.14682,0.9549548
2M16594514-2252009,4602.459,2.56176,0.35072,0.0208918,0.3167,0.04587698,0.4351899,359.250824,11.9350634,1.924507,1.900713,2.046373,1.625137
2M16594543-2159547,4836.312,2.255132,-0.81935,0.320575,-0.8179,-0.04452997,0.25729,359.966309,12.4498758,8.590627,8.477665,8.949715,0.8447686
2M16594684-2150470,5164.823,2.351636,-0.7462,0.294675,-0.74341,0.08992195,0.289,0.095127292,12.5356541,9.22807,9.044119,9.431343,0.811042
2M16594837-2143231,4099.682,1.386743,-0.56955,0.277305,-0.56617,0.09518901,0.13236,0.200507358,12.6039,6.762476,6.65046,6.859962,0.9254239
2M16594850-2155355,3908.671,1.061441,-0.42956,0.264235,-0.45126,0.112803,0.31613,0.0328870006,12.4830065,3.153894,3.0402,3.312122,1.778545
