apogee_id,field,glon,glat,teff,logg,m_h,alpha_m,vmicro,vsini,r_arcmin
2M16375886+3610241,M13,58.5211529898657,41.6243553666054,4895.503,2.491569,-0.56644,0.281295,1.390177,-9999.0,51.93640304078311
2M16380048+3535216,M13,57.745870241005,41.5544132337775,4936.439,3.279299,-0.28154,0.171695,0.9265866,2.878061,85.13432250508367
2M16380051+3615031,M13,58.6250445846193,41.6270157520792,4959.677,3.095803,-0.39096,0.176835,1.211415,3.261294,48.82917302206006
2M16380242+3731241,M13,60.3220410313824,41.7416427494961,4633.897,2.510953,0.12656,0.0245913,1.134261,-9999.0,93.20457494647756
2M16380268+3658564,M13,59.6002489050517,41.6923850822637,4843.424,2.952682,-0.51371,0.284915,0.9014653,-9999.0,58.80367907460078
2M16381640+3545461,M13,57.9842877255161,41.5206545813628,4746.589,2.444089,-0.018654,0.018054,1.395436,-9999.0,71.62363350151078
2M16382222+3538332,M13,57.8277724367495,41.4873780756934,4252.469,1.797982,-0.17616,0.118681,1.454052,-9999.0,78.94110990455019
2M16383052+3624376,M13,58.8512691955462,41.5434403005862,4860.018,2.900405,-0.60111,0.267885,1.099748,-9999.0,39.181519849049145
2M16383232+3708171,M13,59.8200626227072,41.6087415966487,5273.953,3.596409,-2.1027,0.404755,0.4654789,-9999.0,64.18713716734842
2M16383397+3518354,M13,57.3932173205159,41.4086321324578,5011.349,2.994523,-0.72275,0.230105,1.089198,-9999.0,101.5156778547879
2M16383408+3630290,M13,58.9826255028329,41.5416172056265,4584.284,2.358875,-0.58203,0.286375,1.264271,-9999.0,37.93260823010866
2M16383703+3523237,M13,57.5008831767787,41.40790455726,4911.712,2.482138,-0.36503,0.111614,1.534228,-9999.0,95.3479581499853
2M16384168+3626290,M13,58.897532164815,41.5094311708759,4895.525,3.423953,-0.30136,0.218075,0.3598653,2.62144,36.59344576898823
2M16384606+3734503,M13,60.4149735159462,41.6029140779565,4281.872,1.895641,-0.16098,0.143325,1.252789,-9999.0,93.99303059156014
2M16384881+3553029,M13,58.1616505027358,41.4254837896696,4997.723,2.853103,-0.6692,0.127595,1.082722,-9999.0,59.561006244975154
2M16385080+3549315,M13,58.0848767431506,41.4122121384981,3995.856,1.219394,-0.65918,0.304695,1.831808,-9999.0,63.15894442362455
2M16385085+3545236,M13,57.9936534884409,41.4042023005132,4951.494,3.394122,-0.32713,0.186655,0.3086882,2.61957,67.80786181120305
2M16385520+3525248,M13,57.5552357561549,41.3506712523796,4635.753,2.163599,-0.7699,0.287915,1.427381,-9999.0,91.2025688686367
2M16385618+3706452,M13,59.7959474248595,41.5274339804918,4882.238,2.448444,-0.78931,0.151735,1.372587,-9999.0,59.968133785146584
2M16385623+3535110,M13,57.7711745700723,41.3664568667496,4572.904,2.467323,0.21377,0.010393,1.201609,-9999.0,79.21457404630986
2M16385680+3635073,M13,59.0956744879724,41.4738329300067,4721.43,1.71527,-1.709,0.056465,1.346883,-9999.0,34.21829462520602
2M16385891+3713172,M13,59.941885021998,41.5285241906679,4880.576,2.787829,-0.75665,0.283325,1.091104,-9999.0,67.10838045427826
2M16390296+3722100,M13,60.1403807397088,41.5286464084704,4057.064,1.350999,-0.61222,0.311585,1.76157,-9999.0,77.3158611379621
2M16390317+3651068,M13,59.4524572901597,41.4793092892856,4972.821,2.47957,-0.61516,0.311775,1.462379,-9999.0,43.26168597889422
2M16390405+3514447,M13,57.3250354712956,41.2993033685773,4906.663,3.0271,-0.58584,0.277105,0.8276886,-9999.0,103.76119348195458
2M16390826+3658360,M13,59.6204041963195,41.4745353140054,4792.685,3.095761,-0.21655,0.188985,0.9107035,3.414523,49.88643355780293
