name,cluster,P_ms,P1_e20,Pb_days,is_binary,P,P1,log_P1,P1_sign,environment
J1824-2452E,M28,5.41913,-10.88,,False,0.00541913,-1.088e-19,-18.96337110463784,-1.0,globular_cluster
J1824-2452F,M28,2.45115,0.9494,,False,0.00245115,9.493999999999999e-21,-20.02255077261766,1.0,globular_cluster
J1824-2452G,M28,5.90906,17.89,0.10458,True,0.00590906,1.789e-19,-18.747389659432628,1.0,globular_cluster
J1824-2452H,M28,4.62941,8.19,0.43503,True,0.00462941,8.189999999999999e-20,-19.08671609823958,1.0,globular_cluster
J1824-2452J,M28,4.03969,-7.57,0.09743,True,0.00403969,-7.57e-20,-19.120904120499926,-1.0,globular_cluster
J1824-2452M,M28,4.78428,12.2818,0.24252,True,0.00478428,1.22818e-19,-18.910737979059665,1.0,globular_cluster
J1824-2452N,M28,3.35287,15.9209,0.19849,True,0.00335287,1.5920899999999998e-19,-18.798032385468588,1.0,globular_cluster
J1835-3259B,NGC 6652,1.83029,6.65,1.19786,True,0.00183029,6.65e-20,-19.177178354696895,1.0,globular_cluster
J1836-2354A,M22,3.35434,0.2318,0.20283,True,0.00335434,2.318e-21,-20.634886568372423,1.0,globular_cluster
J1836-2354B,M22,3.23227,-0.048,,False,0.00323227,-4.8e-22,-21.318758762624412,-1.0,globular_cluster
J1911-5958A,NGC 6752,3.26619,0.29679,0.83711,True,0.00326619,2.9678999999999998e-21,-20.52755073620293,1.0,globular_cluster
J1910-5959B,NGC 6752,8.3578,-79.9,,False,0.008357799999999999,-7.99e-19,-18.09745322068601,-1.0,globular_cluster
J1911-6000C,NGC 6752,5.27733,0.22,,False,0.00527733,2.2e-21,-20.657577319177793,1.0,globular_cluster
J1910-5959D,NGC 6752,9.03529,96.3,,False,0.00903529,9.63e-19,-18.016373712875467,1.0,globular_cluster
J1910-5959E,NGC 6752,4.57177,-43.7,,False,0.00457177,-4.37e-19,-18.359518563029578,-1.0,globular_cluster
J1910-5959F,NGC 6752,8.48549,74.122,,False,0.00848549,7.412199999999999e-19,-18.130052870825814,1.0,globular_cluster
J1911+0102A,NGC 6760,3.61852,-0.658,0.140996,True,0.00361852,-6.58e-21,-20.181774106386044,-1.0,globular_cluster
J1911+0101B,NGC 6760,5.38432,-0.2,,False,0.00538432,-2e-21,-20.69897000433602,-1.0,globular_cluster
J1953+1846A,M71,4.8883,4.8502,0.176795,True,0.0048883,4.8501999999999996e-20,-19.314240352716183,1.0,globular_cluster
J1953+1846B,M71,79.89931,100.7,466.46888,True,0.07989931,1.007e-18,-17.996970529446383,1.0,globular_cluster
J1953+1846C,M71,28.9328,4.04,378.23276,True,0.0289328,4.04e-20,-19.393618634889396,1.0,globular_cluster
J1953+1846D,M71,100.67902,8.0,10.93804,True,0.10067902,8e-20,-19.096910013008056,1.0,globular_cluster
J1953+1846E,M71,4.44408,2.217,0.03704,True,0.0044440799999999996,2.217e-20,-19.654234306885513,1.0,globular_cluster
B2127+11A,M15,110.66469,-2099.07,,False,0.11066469,-2.09907e-17,-16.67797307827952,-1.0,globular_cluster
B2127+11B,M15,56.13304,954.58,,False,0.05613304,9.5458e-18,-17.020187669048582,1.0,globular_cluster
B2127+11C,M15,30.52929,498.85,0.33528,True,0.03052929,4.9885e-18,-17.30203002344566,1.0,globular_cluster
B2127+11D,M15,4.8028,-107.01,,False,0.0048028,-1.0701e-18,-17.970575635941984,-1.0,globular_cluster
B2127+11E,M15,4.65144,18.5465,,False,0.00465144,1.8546500000000001e-19,-18.731738036135393,1.0,globular_cluster
B2127+11F,M15,4.02704,2.7113,,False,0.004027040000000001,2.7113e-20,-19.566822425932525,1.0,globular_cluster
B2127+11G,M15,37.66017,163.4,,False,0.03766017,1.634e-18,-17.786747947803605,1.0,globular_cluster
B2127+11H,M15,6.74339,2.138,,False,0.00674339,2.138e-20,-19.66999229912724,1.0,globular_cluster
J2129+1210J,M15,11.84248,20.407,,False,0.01184248,2.0407e-19,-18.690220835519522,1.0,globular_cluster
J2129+1210M,M15,4.83618,-23.68,,False,0.00483618,-2.3679999999999996e-19,-18.625618301949117,-1.0,globular_cluster
J2129+1210O,M15,11.06687,-219.46,,False,0.01106687,-2.1946e-18,-17.658644625136294,-1.0,globular_cluster
J2133-0049A,M2,10.14929,16.832,4.25549,True,0.01014929,1.6832e-19,-18.773864277526354,1.0,globular_cluster
J2133-0049B,M2,6.97455,-5.112,9.34713,True,0.0069745499999999995,-5.112e-20,-19.291409154849656,-1.0,globular_cluster
J2133-0049C,M2,3.00493,-2.2152,1.10912,True,0.00300493,-2.2151999999999997e-20,-19.654587057262482,-1.0,globular_cluster
J2133-0049D,M2,4.21574,7.618,3.4297,True,0.00421574,7.618e-20,-19.118159031675074,1.0,globular_cluster
J2133-0049E,M2,3.70312,3.923,1.5973,True,0.0037031200000000003,3.923e-20,-19.406381691870465,1.0,globular_cluster
J2133-0049F,M2,4.78089,3.042,3.59847,True,0.00478089,3.0419999999999996e-20,-19.51684079028302,1.0,globular_cluster
J2133-0049G,M2,2.53574,2.6836,0.12036,True,0.0025357400000000003,2.6836e-20,-19.571282216796167,1.0,globular_cluster
J2140-2310A,M30,11.0193,-5.181,0.17399,True,0.0110193,-5.181e-20,-19.285586407712877,-1.0,globular_cluster
J0437-4715,,5.757,14.0,5.741,True,0.005757,1.4e-19,-18.853871964321762,1.0,field
J1909-3744,,2.947,14.0,1.533,True,0.002947,1.4e-19,-18.853871964321762,1.0,field
J0613-0200,,3.062,9.6,1.199,True,0.0030619999999999996,9.6e-20,-19.01772876696043,1.0,field
J1012+5307,,5.256,17.1,0.605,True,0.005256,1.71e-19,-18.767003889607846,1.0,field
J1713+0747,,4.57,8.5,67.825,True,0.00457,8.499999999999999e-20,-19.07058107428571,1.0,field
J1744-1134,,4.075,8.9,,False,0.0040750000000000005,8.899999999999999e-20,-19.05060999335509,1.0,field
J1857+0943,,5.362,17.8,12.327,True,0.0053620000000000004,1.7799999999999999e-19,-18.749579997691107,1.0,field
J1939+2134,,1.558,105.0,,False,0.0015580000000000001,1.05e-18,-17.97881070093006,1.0,field
J2145-0750,,16.05,29.8,6.839,True,0.016050000000000002,2.9799999999999997e-19,-18.525783735923746,1.0,field
J0030+0451,,4.865,10.2,,False,0.004865,1.0199999999999999e-19,-18.991399828238084,1.0,field
J0751+1807,,3.479,7.8,0.263,True,0.003479,7.799999999999999e-20,-19.10790539730952,1.0,field
J1024-0719,,5.162,18.6,,False,0.005162,1.86e-19,-18.730487055782085,1.0,field
J1600-3053,,3.598,9.5,14.348,True,0.003598,9.5e-20,-19.022276394711152,1.0,field
J1640+2224,,3.163,2.8,175.461,True,0.003163,2.7999999999999997e-20,-19.55284196865778,1.0,field
J1738+0333,,5.85,24.1,0.355,True,0.005849999999999999,2.41e-19,-18.61798295742513,1.0,field
J1853+1303,,4.092,8.7,115.654,True,0.004091999999999999,8.699999999999999e-20,-19.06048074738138,1.0,field
J2124-3358,,4.931,20.6,,False,0.004931,2.06e-19,-18.686132779630846,1.0,field
J2317+1439,,3.445,2.4,2.459,True,0.0034449999999999997,2.4e-20,-19.619788758288394,1.0,field
J0340+4130,,3.299,7.0,,False,0.003299,7e-20,-19.154901959985743,1.0,field
J0645+5158,,8.854,4.9,,False,0.008853999999999999,4.9e-20,-19.309803919971486,1.0,field
J1022+1001,,16.45,43.3,7.805,True,0.01645,4.3299999999999993e-19,-18.363512103646634,1.0,field
J1455-3330,,7.987,24.3,76.175,True,0.007987,2.43e-19,-18.614393726401687,1.0,field
