PLATEIFU,redshift,LW_AGE_1RE,LW_AGE_1RE_ERROR,MW_AGE_1RE,MW_AGE_1RE_ERROR,LW_Z_1RE,MW_Z_1RE,PHOTOMETRIC_MASS,stellar_sigma_1re
11954-12704,0.03031263,0.3831683,0.1690591,0.7323273,0.1991575,-0.06226383,-0.2770221,10.97661,128.7711
11954-12704,0.03031263,0.3831683,0.1690591,0.7323273,0.1991575,-0.06226383,-0.2770221,10.97661,128.7711
11954-12704,0.03031263,0.3831683,0.1690591,0.7323273,0.1991575,-0.06226383,-0.2770221,10.97661,128.7711
11954-1901,0.02366782,0.8379644,0.09234311,0.9551948,0.0901519,-0.007948638,-0.09965736,10.17238,102.2028
11954-1901,0.02366782,0.8379644,0.09234311,0.9551948,0.0901519,-0.007948638,-0.09965736,10.17238,102.2028
11954-1901,0.02366782,0.8379644,0.09234311,0.9551948,0.0901519,-0.007948638,-0.09965736,10.17238,102.2027
11954-1901,0.02366782,0.8379644,0.09234311,0.9551948,0.0901519,-0.007948638,-0.09965736,10.17238,102.2028
11954-1902,0.02657626,0.4316643,0.09220462,0.6104606,0.1375608,0.05647406,-0.0002064119,10.30455,133.5766
11954-1902,0.02657626,0.4316643,0.09220462,0.6104606,0.1375608,0.05647406,-0.0002064119,10.30455,133.5766
11954-1902,0.02657626,0.4316643,0.09220462,0.6104606,0.1375608,0.05647406,-0.0002064119,10.30455,133.5766
11954-1902,0.02657626,0.4316643,0.09220462,0.6104606,0.1375608,0.05647406,-0.0002064119,10.30455,133.5766
11954-3703,0.0298008,0.4421695,0.1467178,0.8395147,0.1577252,-0.1368947,-0.3909296,10.43794,88.24612
11954-3703,0.0298008,0.4421695,0.1467178,0.8395147,0.1577252,-0.1368947,-0.3909296,10.43794,88.24612
11954-3703,0.0298008,0.4421695,0.1467178,0.8395147,0.1577252,-0.1368947,-0.3909296,10.43794,88.50507
11954-3703,0.0298008,0.4421695,0.1467178,0.8395147,0.1577252,-0.1368947,-0.3909296,10.43794,88.24612
11954-3704,0.01557495,0.2504811,0.1503473,0.8037007,0.1486768,-0.2187374,-0.7589495,9.11976,56.49849
11954-3704,0.01557495,0.2504811,0.1503473,0.8037007,0.1486768,-0.2187374,-0.7589495,9.11976,56.49849
11954-3704,0.01557495,0.2504811,0.1503473,0.8037007,0.1486768,-0.2187374,-0.7589495,9.11976,56.43393
11954-3704,0.01557495,0.2504811,0.1503473,0.8037007,0.1486768,-0.2187374,-0.7589495,9.11976,56.49849
11954-6102,0.1007011,0.8501739,0.119726,0.9872299,0.0831013,0.2406681,0.2244817,11.24924,266.9065
11954-6102,0.1007011,0.8501739,0.119726,0.9872299,0.0831013,0.2406681,0.2244817,11.24924,266.9065
11954-6102,0.1007011,0.8501739,0.119726,0.9872299,0.0831013,0.2406681,0.2244817,11.24924,267.2762
11954-6102,0.1007011,0.8501739,0.119726,0.9872299,0.0831013,0.2406681,0.2244817,11.24924,266.9065
11954-6103,0.03220808,0.6974496,0.158955,0.9440382,0.1323459,0.1153435,-0.003330433,10.38128,77.91439
11954-6103,0.03220808,0.6974496,0.158955,0.9440382,0.1323459,0.1153435,-0.003330433,10.38128,77.91439
11954-6103,0.03220808,0.6974496,0.158955,0.9440382,0.1323459,0.1153435,-0.003330433,10.38128,78.50717
11954-6103,0.03220808,0.6974496,0.158955,0.9440382,0.1323459,0.1153435,-0.003330433,10.38128,77.91439
11954-9101,0.02995014,0.5063082,0.2202821,0.8448956,0.2267219,-0.169027,-0.4792668,10.20479,61.84782
11954-9101,0.02995014,0.5063082,0.2202821,0.8448956,0.2267219,-0.169027,-0.4792668,10.20479,61.84782
11954-9101,0.02995014,0.5063082,0.2202821,0.8448956,0.2267219,-0.169027,-0.4792668,10.20479,61.383
11954-9101,0.02995014,0.5063082,0.2202821,0.8448956,0.2267219,-0.169027,-0.4792668,10.20479,61.84782
11954-9102,0.02421127,0.2595908,0.2509561,0.7872244,0.2227253,-0.1801518,-0.555932,9.705653,55.40674
11954-9102,0.02421127,0.2595908,0.2509561,0.7872244,0.2227253,-0.1801518,-0.555932,9.705653,55.40674
11954-9102,0.02421127,0.2595908,0.2509561,0.7872244,0.2227253,-0.1801518,-0.555932,9.705653,56.77322
11954-9102,0.02421127,0.2595908,0.2509561,0.7872244,0.2227253,-0.1801518,-0.555932,9.705653,55.40674
11955-12701,0.02339171,0.1430142,0.2887304,0.7767291,0.2227661,-0.1602443,-0.6299498,9.361689,50.33922
11955-12701,0.02339171,0.1430142,0.2887304,0.7767291,0.2227661,-0.1602443,-0.6299498,9.361689,50.33922
11955-12701,0.02339171,0.1430142,0.2887304,0.7767291,0.2227661,-0.1602443,-0.6299498,9.361689,53.71579
11955-12701,0.02339171,0.1430142,0.2887304,0.7767291,0.2227661,-0.1602443,-0.6299498,9.361689,50.33922
