apogee_id,dist50,glon,glat,mn_fe,fe_h
2M17143437-2452403,0.2592315,359.602783,8.01066971,0.1602685,0.010655
2M17143500-2412244,0.6615409,0.160192117,8.39275551,0.161792,0.29973
2M17143572-2446529,7.630101,359.685638,8.06176376,-0.1621981,-0.7628
2M17143578-2457520,5.166931,359.53421,7.95668745,0.068672,0.31805
2M17143625-2438116,4.329531,359.806702,8.1430006,0.0002219677,-0.32693
2M17143859-2424223,6.924463,0.00271983841,8.26754951,-0.158478,-0.77802
2M17143933-2504489,6.203022,359.446136,7.87934113,0.101212,0.24211
2M17143983-2439271,6.078246,359.79718,8.11988163,-0.125818,-0.41006
2M17144003-2433093,2.371283,359.884583,8.1793108,0.041722,0.035956
2M17144033-2428460,3.229853,359.945831,8.22022438,-0.03516901,0.11605
2M17144187-2440549,5.049004,359.781433,8.09959412,-0.158788,-0.42527
2M17144204-2435163,6.985612,359.859741,8.15288353,0.220962,0.37212
2M17144320-2430029,1.301341,359.934418,8.19908047,0.107002,0.11254
2M17144441-2434055,4.016842,359.881195,8.15678596,-0.08627802,-0.5541
2M17144682-2413158,8.784222,0.174293071,8.34773731,-0.02969801,-0.5487
2M17144778-2445585,7.490429,359.724518,8.03297997,-0.05506799,-0.41084
2M17144801-2411241,2.946316,0.20265086,8.3617506,-0.06597801,-0.01174
2M17144968-2506047,6.702984,359.451294,7.835289,0.03157198,0.22808
2M17145149-2448543,9.265227,359.6922,7.99352551,-0.150238,-0.4219
2M17145215-2500113,7.68323,359.537964,7.88384819,0.222262,0.42927
2M17145303-2422599,7.466372,0.0533565208,8.23565578,-0.07753804,-0.45178
2M17145376-2440561,0.9101187,359.80719,8.06247902,-0.114448,-0.39001
2M17145389-2522520,7.265158,359.229034,7.66197348,-0.06744,-0.063668
2M17145442-2353290,2.596973,0.464585245,8.5122261,0.005762987,-0.072041
2M17145544-2521118,8.098965,359.255432,7.673141,0.163532,0.39681
2M17145582-2436368,12.93785,359.871368,8.09727764,0.392102,-1.3028
2M17145603-2456118,7.560166,359.601471,7.90990877,-0.082798,-0.39726
2M17145710-2351226,6.141237,0.499631852,8.52387905,-0.03952101,-0.020017
2M17145769-2451561,5.778761,359.66391,7.94543743,0.008171976,-0.59027
2M17145794-2413252,2.416449,0.196516424,8.31153965,0.008683996,-0.016742
2M17150043-2444562,3.554888,359.76651,8.00363922,-0.05330801,-0.51323
2M17150092-2419464,0.3044863,0.115223609,8.24179935,0.1426725,0.22886
2M17150135-2422049,1.114348,0.0842613578,8.21847534,-1.060497,-0.27742
2M17150296-2423503,6.864526,0.063501738,8.19673061,-0.418298,-1.04
2M17150299-2513213,6.492198,359.379974,7.72467518,-0.3061579,-0.97824
2M17150429-2425083,8.265343,0.0484266914,8.180233,-0.08402101,-0.077567
2M17150500-2352042,6.848579,0.507394373,8.49255466,-0.161038,-0.39004
2M17150720-2445497,7.926313,359.768982,7.97411394,-0.182848,-0.67594
2M17150846-2459415,7.618596,359.580353,7.83806849,0.167938,-0.002099999
2M17151245-2439163,7.552749,359.871033,8.02026939,-0.03174201,-0.071326
2M17151260-2423211,2.278063,0.0913231447,8.17134857,-0.03335501,-0.051243
2M17151308-2458316,3.408681,359.606506,7.83488941,0.04730299,0.014765
2M17151508-2459438,0.7263619,359.594269,7.81720257,-0.1828204,-0.00099707
2M17151597-2351550,6.864002,0.533617795,8.45967102,-0.128558,-0.62351
2M17151783-2432058,8.629088,359.981903,8.07182884,-0.168658,-0.60232
2M17151842-2421285,1.958276,0.130013257,8.17106819,0.120462,0.15417
2M17151927-2426369,0.9571568,0.060807284,8.11951065,-0.178238,-0.85716
2M17151970-2514510,8.143677,359.395721,7.65877342,-0.332678,-0.70022
2M17151978-2507285,1.480637,359.49762,7.72882652,0.08377799,0.086267
2M17151994-2442463,0.6080199,359.83902,7.9636693,0.08567552,-0.066003
2M17152020-2439013,7.321986,359.891388,7.99856758,0.008912027,-0.53156
2M17152021-2524075,9.998121,359.268921,7.56873417,0.011856,-0.072534
2M17152188-2426018,0.5685656,0.074614495,8.11695671,0.110942,0.24639
2M17152335-2450386,6.800799,359.737732,7.87811756,-0.06434801,-0.14907
2M17152598-2515095,1.541313,359.405121,7.63643885,0.04600059,0.0013394
2M17152803-2459336,0.09063403,359.624847,7.77869797,0.1325025,0.21263
2M17153086-2503345,9.292017,359.575562,7.73169422,0.183502,0.3106
2M17153146-2452087,7.374849,359.73468,7.83867311,-0.229598,-1.032
2M17153186-2426492,6.361862,0.0855017155,8.07834625,-0.08096802,-0.62696
2M17153299-2406170,0.6625634,0.372059077,8.26996899,-0.02094901,-0.040589
2M17153404-2409295,8.957217,0.329946101,8.23622036,-0.07446802,-0.44561
2M17153515-2439194,1.463157,359.919861,7.949193,0.181412,0.26148
2M17153591-2412457,8.136857,0.288795948,8.19932175,-0.08783799,-0.72919
2M17153657-2423574,7.585557,0.135387868,8.09090137,-0.106218,-0.59994
2M17153694-2419422,0.7718429,0.195026606,8.13015366,-1.705067,-0.21505
2M17153777-2405049,1.814647,0.399164349,8.2664423,0.207042,0.14664
2M17153821-2449202,2.638992,359.788177,7.84444237,0.020101,-0.089139
2M17153901-2445270,8.194802,359.843597,7.878932,-0.1618979,-1.2295
2M17153963-2457367,6.81308,359.677002,7.76127148,-0.237798,-1.3074
2M17154154-2423118,6.861085,0.15674454,8.08261108,-0.107301,0.086843
2M17154200-2444217,0.4757404,359.865173,7.8800087,0.08118098,0.10147
2M17154320-2440047,8.222939,359.927002,7.9169755,-0.005667999,-0.22366
2M17154348-2518214,1.799901,359.399048,7.55184078,0.190182,0.28524
2M17154472-2509329,8.345158,359.523285,7.63189983,-0.233398,-0.9282
2M17154545-2416287,7.148628,0.258245796,8.13422489,-0.137918,-0.71375
2M17154601-2516278,6.880663,359.430664,7.56206656,-0.09833801,-0.59257
2M17154715-2442449,8.284786,359.898712,7.87932825,-0.2684979,-1.2185
2M17154724-2448443,5.973782,359.816132,7.82210493,-0.03725803,-0.68762
2M17154771-2355067,8.940823,0.558977008,8.3299427,0.06100202,-1.8333
2M17154793-2501461,2.742342,359.637665,7.69602108,-0.100266,-0.043292
2M17154804-2404293,9.603702,0.429869771,8.23994541,0.019739,0.16202
2M17154852-2457018,8.955188,359.704376,7.73926115,-0.04016793,-0.91663
2M17154956-2405053,5.943609,0.424871325,8.22950649,-0.197898,-1.1103
2M17155033-2415378,1.740814,0.28064689,8.12704182,0.00614199,-0.11032
2M17155310-2510260,0.2376967,359.529266,7.59752893,0.03999751,0.035061
2M17155322-2445223,1.066067,359.875671,7.83551979,0.198462,0.20018
2M17155348-2353318,6.827017,0.59351784,8.32687378,0.224362,0.44271
2M17155393-2411312,4.969752,0.34539485,8.15482044,0.01598199,-0.1226
2M17155410-2343526,2.301308,0.728641093,8.41643715,-0.084488,-0.29545
2M17155436-2448439,2.726217,359.831726,7.80003738,0.07723199,0.093181
2M17155458-2347176,8.17312,0.682347834,8.38251877,-0.09744799,-0.49136
2M17155463-2430398,8.236599,0.0820766687,7.97090101,-0.245728,-0.48399
2M17155642-2444400,5.987046,359.892365,7.83228922,0.260172,0.21667
2M17155885-2412262,7.389129,0.34346351,8.13075161,-0.05486798,-0.61475
2M17160004-2447421,11.88915,359.858337,7.79219723,-0.018758,-0.20497
2M17160035-2352385,3.047251,0.62086916,8.3137598,-0.01799804,-0.55968
2M17160061-2343368,7.359441,0.746565402,8.39850426,0.162332,0.39309
2M17160162-2510403,7.49412,359.544464,7.56889486,0.150282,0.30687
2M17160286-2349344,8.070767,0.66890347,8.33496284,-0.02221251,0.0057845
2M17160409-2505561,6.723503,359.615265,7.60627508,-0.021238,-0.01241
2M17160489-2442494,3.785162,359.93631,7.8234601,0.246162,0.25481
2M17160610-2500218,9.165558,359.696564,7.65303087,-0.338888,-0.68391
2M17160615-2415514,3.292144,0.312083602,8.07548809,0.128412,0.078188
2M17160744-2515288,10.73348,359.490753,7.50513411,-0.4241781,-0.80832
2M17160777-2340475,10.48369,0.801377296,8.40273666,-0.148028,-0.44396
2M17160863-2404556,1.91098,0.468811512,8.17137814,0.1185655,0.016706
2M17160960-2345551,7.3735,0.734303415,8.34843254,-0.04050501,0.09925
2M17161031-2401327,1.793962,0.519318819,8.19818878,0.130692,0.10966
2M17161098-2452325,8.488859,359.815216,7.71219683,0.185542,0.28547
2M17161110-2511379,0.4973414,359.551819,7.53039217,-0.09118749,-0.24578
2M17161163-2521115,5.493876,359.420959,7.43783808,0.142792,0.18691
2M17161264-2447026,5.431946,359.894836,7.75925779,-0.02705799,-0.17786
2M17161289-2407544,0.5179683,0.436859965,8.12979317,0.2228025,0.21311
2M17161458-2439137,6.763978,0.00709799444,7.82743359,-0.324298,-0.757
2M17161489-2447195,9.540271,359.895844,7.74960327,0.073542,0.19702
2M17161490-2457326,7.780591,359.754639,7.65251017,-0.06895301,0.21526
2M17161510-2525370,6.289437,359.367401,7.38504028,-0.02044803,-0.71017
2M17161691-2458586,6.459907,359.739197,7.63265514,0.104662,-0.14628
2M17161732-2521384,1.541401,359.427094,7.41599655,0.169092,0.27914
2M17161922-2420323,8.548075,0.275783986,7.99028826,-0.314348,-0.62125
2M17161967-2515035,5.408106,359.523071,7.4712801,0.1967919,0.32133
2M17162106-2406536,4.935954,0.468727976,8.1138649,-0.055498,-0.44948
2M17162163-2441042,0.1190351,359.996979,7.78802204,0.05067852,0.049836
2M17162250-2511497,3.780014,359.573822,7.4932251,0.01983199,-0.1045
2M17162634-2504354,0.5695393,359.682129,7.55010271,0.04349751,0.076176
2M17162712-2440357,3.660757,0.01548352,7.77543068,-0.04288802,-0.27685
2M17162795-2409312,7.429377,0.447397918,8.06743526,-0.129978,-0.44157
2M17163016-2419110,1.627273,0.318395138,7.96895075,0.01549199,-0.14031
2M17163336-2425216,5.641484,0.239877269,7.90044403,-0.09926796,-0.64832
2M17163363-2407382,6.752796,0.485864639,8.06749535,0.140212,0.38647
2M17163426-2422568,5.670571,0.275230676,7.92049551,0.03650399,0.14946
2M17163442-2511179,2.867339,359.606964,7.46131992,0.146645,0.066842
2M17163450-2443175,5.891779,359.994232,7.72689819,0.03860199,-0.55971
2M17163544-2419500,4.237016,0.320911705,7.94632578,-0.04011801,-0.20475
2M17163650-2518457,7.784533,359.508392,7.38399458,-0.03396801,0.02988
