plateifu,mangaid,objra,objdec,log_Mass,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,vel_sigma_Re,Re_kpc
9484-1902,1-153284,120.439770501,34.7578795129,9.310555,8.76262,0.1978294,9.743066,0.3182248,-0.4103325,-0.2243709,0.4982616,1.136506
9484-3701,1-153260,118.917362877,33.706038417,10.42126,9.123343,-0.618671,9.506832,-0.2118043,-0.3560598,-0.3128976,0.2417732,6.417194
9484-3702,1-121576,118.855331262,35.1102360794,11.18128,9.282308,-0.7013238,9.786809,-0.07864591,-0.03993345,-0.03301597,0.2941531,9.182105
9484-3703,1-121604,119.259924286,34.2736250131,11.24943,9.672216,-0.06802914,9.821838,-0.05070055,0.002205749,-0.1555735,0.1051068,4.042682
9484-3704,1-153263,119.048155977,33.6785670564,11.22633,9.692352,-0.05968735,9.859015,0.06713089,-0.1637089,-0.1201867,0.08554881,6.518783
9484-6101,1-153153,120.315161065,32.8489095112,10.34207,8.981218,0.1827731,9.683839,0.1159313,-0.3478248,-0.4303527,0.4544165,3.606424
9484-6102,1-153279,119.546258979,34.3414830955,9.634821,8.549502,-0.1722933,9.410665,-0.1193584,-0.4450732,-0.140023,0.9152849,2.927543
9484-6103,1-153339,120.669394113,34.5214481697,10.52884,8.899507,-0.1890407,9.597141,0.1314138,-0.1271938,-0.1552629,0.4968703,4.165541
9484-6104,1-548620,120.275505308,34.8191127944,11.62889,9.791017,0.04836462,9.887341,0.03907999,-0.1243475,-0.2964132,0.1459956,5.986449
9484-9101,1-153293,120.662607821,34.7764748414,11.00813,9.176305,-0.3872072,9.731695,0.02830821,-0.06285556,-0.1911111,0.4459324,5.102329
9484-9102,1-121622,120.195154664,35.5294127325,9.429157,8.612885,-0.3796191,9.353148,-0.193269,-0.4827521,-0.04141686,0.6296302,2.407022
9485-12701,1-71869,119.657109462,37.4830883777,11.05731,9.707236,-0.1985475,9.9209,-0.04215668,-0.3300842,-0.3407969,0.3539367,9.362185
9485-12702,1-121612,121.146375974,35.9977434187,9.512131,8.602057,-0.2050013,9.915833,0.1328408,-0.4854696,0.009988201,0.464317,4.173829
9485-12703,1-121936,122.043473817,37.7629023594,10.16504,8.948505,-0.2144668,9.474807,-0.05638878,-0.2385144,-0.1496787,0.516473,3.936984
9485-12704,1-122054,119.882598143,37.8811718493,11.1026,9.675275,0.03538588,9.800248,0.02969867,0.1009504,-0.1048422,0.3505693,1.479447
9485-12705,1-153627,121.779937488,36.2334785413,11.03017,9.073882,-0.3801861,9.589227,-0.08179593,-0.0818566,-0.1484483,0.4403059,4.171074
9485-1901,1-122002,120.778031862,37.0235574368,11.27447,8.526507,-0.09297548,9.913471,0.04831227,-0.4887656,-0.007053532,0.04826433,3.008522
9485-1902,1-121607,120.711475847,35.7735595945,11.16964,9.669632,-0.003466712,9.802642,-0.00315331,0.06743883,-0.1661268,0.2860793,2.7266
9485-3701,1-121789,119.532034412,36.8312692846,10.30491,9.128249,0.2702639,9.739113,-0.09184259,-0.2160957,-0.02108544,0.5558206,1.938596
9485-3702,1-121837,120.075659949,37.6092531873,10.4472,9.166675,-0.2714588,9.776344,0.0855112,-0.2487355,-0.0643081,0.3850199,2.51623
9485-3703,1-121871,120.76670425,36.2644893046,10.28607,9.211308,-0.1240009,9.693931,0.1077541,-0.3152222,-0.325304,0.3965374,2.484406
