name,environment,cluster,P0_s,P1_sps,pdot_over_p,log_abs_pdot_over_p,logP,log_b_proxy
J1748-2446U,globular_cluster,Terzan 5,0.00328914,3e-19,9.120925226654992e-17,-16.03996110460473,-2.4829176,-10.502898
J1748-2446V,globular_cluster,Terzan 5,0.00207251,-9.5e-20,-4.583813829607577e-17,-16.338773029438574,-2.6835034,-10.85289
J1748-2446W,globular_cluster,Terzan 5,0.00420518,1.2e-19,2.8536233882972906e-17,-16.544603344177542,-2.3762154,-10.648517
J1748-2446X,globular_cluster,Terzan 5,0.00299926,5.9e-20,1.967151897468042e-17,-16.70616210389094,-2.5229859,-10.876067
J1748-2446Y,globular_cluster,Terzan 5,0.00204816,1.5e-19,7.323646590110148e-17,-16.13527262117922,-2.6886361,-10.756272
J1748-2446Z,globular_cluster,Terzan 5,0.00246259,-8.6e-20,-3.492258150971132e-17,-16.456893660327754,-2.6086079,-10.837055
J1748-2446aa,globular_cluster,Terzan 5,0.00578804,-4.4e-19,-7.601882502539718e-17,-16.119078847294478,-2.2374685,-10.297008
J1748-2446ab,globular_cluster,Terzan 5,0.00511971,4.2e-19,8.203589656445383e-17,-16.08599607117037,-2.2907546,-10.333753
J1748-2446ac,globular_cluster,Terzan 5,0.00508691,2.3e-19,4.5214088710042047e-17,-16.34472621793986,-2.2935459,-10.465909
J1748-2446ad,globular_cluster,Terzan 5,0.00139595,-3.4e-20,-2.435617321537304e-17,-16.613390946006366,-2.8551301,-11.161826
J1748-2446ae,globular_cluster,Terzan 5,0.00365859,-5.7e-19,-1.557977253532098e-16,-15.807438887316604,-2.4366863,-10.340406
J1748-2446af,globular_cluster,Terzan 5,0.00330434,-2.3e-19,-6.960542801285581e-17,-16.157356891652192,-2.4809153,-10.559594
J1748-2446ag,globular_cluster,Terzan 5,0.00444803,1.2e-20,2.6978235308664733e-18,-17.568986461660934,-2.3518323,-11.136326
J1748-2446ah,globular_cluster,Terzan 5,0.00496515,5.7e-19,1.148001570949518e-16,-15.940057517639927,-2.3040676,-10.274096
J1748-2446ai,globular_cluster,Terzan 5,0.02122838,1.4e-18,6.594945068818251e-17,-16.180788817465373,-1.6730831,-9.7634776
J1748-2446aj,globular_cluster,Terzan 5,0.00295891,1.41232e-19,4.7731090164959396e-17,-16.32119864635407,-2.5288682,-10.689468
J1748-2446ak,globular_cluster,Terzan 5,0.0018901,8.8495e-20,4.682027405957357e-17,-16.32956604851611,-2.7235152,-10.888298
J1748-2446am,globular_cluster,Terzan 5,0.00293382,-1.368e-19,-4.6628627523160925e-17,-16.331347367472592,-2.5325665,-10.69824
J1748-2446an,globular_cluster,Terzan 5,0.004802,1.55746e-19,3.243356934610579e-17,-16.48900525416338,-2.3185778,-10.56308
J1748-2446ao,globular_cluster,Terzan 5,0.00227438,8.6979e-20,3.8242949726958556e-17,-16.417448617422732,-2.643137,-10.851861
J1748-2446ap,globular_cluster,Terzan 5,0.00374469,3.07e-19,8.198275424667995e-17,-16.086277495460333,-2.4265841,-10.469723
J1748-2446aq,globular_cluster,Terzan 5,0.01252194,-7.16198e-19,-5.719545054520306e-17,-16.242638514593196,-1.9023284,-10.023648
J1748-2446ar,globular_cluster,Terzan 5,0.00195281,-2.648e-19,-1.3559946948243812e-16,-15.86774200959359,-2.70934,-10.643211
J1748-2446as,globular_cluster,Terzan 5,0.00232646,2.559829e-19,1.1003107725901156e-16,-15.958484635060724,-2.6333044,-10.612547
J1748-2446at,globular_cluster,Terzan 5,0.00218819,-5.89966e-20,-2.6961369899323184e-17,-16.569258045200435,-2.659915,-10.944544
