source,environment,cluster,name,P0_s,P_ms,P1_sps,assoc,logP,logPdot_abs,log_b_proxy,log_tau_c
freire,globular_cluster,Terzan 5,J1748-2446ad,0.00139595,1.39595,-3.4e-20,Terzan 5,-2.8551301,-19.468521,-11.161826,16.312361
freire,globular_cluster,Terzan 5,J1748-2446ae,0.00365859,3.65859,-5.7e-19,Terzan 5,-2.4366863,-18.244125,-10.340406,15.506409
freire,globular_cluster,Terzan 5,J1748-2446af,0.00330434,3.30434,-2.3e-19,Terzan 5,-2.4809153,-18.638272,-10.559594,15.856327
freire,globular_cluster,Terzan 5,J1748-2446ag,0.00444803,4.44803,1.2e-20,Terzan 5,-2.3518323,-19.920819,-11.136326,17.267956
freire,globular_cluster,Terzan 5,J1748-2446ah,0.00496515,4.96515,5.7e-19,Terzan 5,-2.3040676,-18.244125,-10.274096,15.639028
freire,globular_cluster,Terzan 5,J1748-2446ai,0.02122838,21.2284,1.4e-18,Terzan 5,-1.6730831,-17.853872,-9.7634776,15.879759
freire,globular_cluster,Terzan 5,J1748-2446aj,0.00295891,2.95891,1.41232e-19,Terzan 5,-2.5288682,-18.850067,-10.689468,16.020169
freire,globular_cluster,Terzan 5,J1748-2446ak,0.0018901,1.8901,8.8495e-20,Terzan 5,-2.7235152,-19.053081,-10.888298,16.028536
freire,globular_cluster,Terzan 5,J1748-2446am,0.00293382,2.93382,-1.368e-19,Terzan 5,-2.5325665,-18.863914,-10.69824,16.030317
freire,globular_cluster,Terzan 5,J1748-2446an,0.004802,4.802,1.55746e-19,Terzan 5,-2.3185778,-18.807583,-10.56308,16.187975
freire,globular_cluster,Terzan 5,J1748-2446ao,0.00227438,2.27438,8.6979e-20,Terzan 5,-2.643137,-19.060586,-10.851861,16.116419
freire,globular_cluster,Terzan 5,J1748-2446ap,0.00374469,3.74469,3.07e-19,Terzan 5,-2.4265841,-18.512862,-10.469723,15.785247
freire,globular_cluster,Terzan 5,J1748-2446aq,0.01252194,12.5219,-7.16198e-19,Terzan 5,-1.9023284,-18.144967,-10.023648,15.941609
freire,globular_cluster,Terzan 5,J1748-2446ar,0.00195281,1.95281,-2.648e-19,Terzan 5,-2.70934,-18.577082,-10.643211,15.566712
freire,globular_cluster,Terzan 5,J1748-2446as,0.00232646,2.32646,2.559829e-19,Terzan 5,-2.6333044,-18.591789,-10.612547,15.657455
freire,globular_cluster,Terzan 5,J1748-2446at,0.00218819,2.18819,-5.89966e-20,Terzan 5,-2.659915,-19.229173,-10.944544,16.268228
freire,globular_cluster,Terzan 5,J1748-2446au,0.00454822,4.54822,-1.06797e-19,Terzan 5,-2.3421585,-18.971441,-10.6568,16.328252
freire,globular_cluster,Terzan 5,J1748-2446av,0.00184945,1.84945,-4.25047e-20,Terzan 5,-2.7329574,-19.371563,-11.05226,16.337576
freire,globular_cluster,Terzan 5,J1748-2446aw,0.01304908,13.0491,1.306465e-18,Terzan 5,-1.8844201,-17.883902,-9.8841612,15.698452
freire,globular_cluster,Terzan 5,J1748-2446ax,0.0019435,1.9435,-9.5495e-21,Terzan 5,-2.7114155,-20.020019,-11.365717,17.007574
freire,globular_cluster,NGC 6440,J1748-2021B,0.0167601,16.7601,-3.2913e-19,NGC 6440,-1.7757234,-18.482633,-10.129178,16.405879
freire,globular_cluster,NGC 6440,J1748-2021C,0.00622693,6.22693,-5.984e-20,NGC 6440,-2.205726,-19.223008,-10.714367,16.716252
freire,globular_cluster,NGC 6440,J1748-2021D,0.0134958,13.4958,5.8678e-19,NGC 6440,-1.8698014,-18.231525,-10.050663,16.060693
freire,globular_cluster,NGC 6440,J1748-2021E,0.016264,16.264,3.124e-19,NGC 6440,-1.7887726,-18.505289,-10.147031,16.415486
freire,globular_cluster,NGC 6440,J1748-2021F,0.00379363,3.79363,-1.055e-20,NGC 6440,-2.420945,-19.976748,-11.198846,17.254773
freire,globular_cluster,NGC 6440,J1748-2021G,0.00521534,5.21534,-1.59525e-19,NGC 6440,-2.2827174,-18.797171,-10.539944,16.213424
freire,globular_cluster,NGC 6440,J1748-2021H,0.00284849,2.84849,1.89976e-19,NGC 6440,-2.5453853,-18.721301,-10.633343,15.874886
freire,globular_cluster,NGC 6441,J1750-3703B,0.00607454,6.07454,1.92e-20,NGC 6441,-2.2164866,-19.716699,-10.966593,17.199182
freire,globular_cluster,NGC 6441,J1750-3703C,0.0265687,26.5687,-9.96e-19,NGC 6441,-1.5756297,-18.001741,-9.7886852,16.125081
freire,globular_cluster,NGC 6441,J1750-3703D,0.00513994,5.13994,4.928e-19,NGC 6441,-2.289042,-18.307329,-10.298186,15.717257
freire,globular_cluster,NGC 6517,J1801-0857A,0.00717561,7.17561,-5.0992e-19,NGC 6517,-2.1441412,-18.292498,-10.21832,15.847327
freire,globular_cluster,NGC 6517,J1801-0857B,0.02896159,28.9616,2.2034e-18,NGC 6517,-1.5381776,-17.656907,-9.5975421,15.817699
freire,globular_cluster,NGC 6517,J1801-0857C,0.0037387,3.7387,-6.298e-20,NGC 6517,-2.4272794,-19.200797,-10.814038,16.472488
freire,globular_cluster,NGC 6517,J1801-0857D,0.00422653,4.22653,7.52e-21,NGC 6517,-2.374016,-20.123782,-11.248899,17.448736
freire,globular_cluster,NGC 6517,J1801-0857E,0.0076017,7.6017,-1.03598e-18,NGC 6517,-2.1190893,-17.984649,-10.051869,15.564529
freire,globular_cluster,NGC 6517,J1801-0857F,0.02489199,24.892,-2.6708e-18,NGC 6517,-1.6039404,-17.573359,-9.5886495,15.668388
freire,globular_cluster,NGC 6517,J1801-0857H,0.00564272,5.64272,3.431e-20,NGC 6517,-2.2485115,-19.464579,-10.856545,16.915038
freire,globular_cluster,NGC 6517,J1801-0857I,0.0032542,3.2542,-1.642e-20,NGC 6517,-2.4875558,-19.784627,-11.136091,16.996041
freire,globular_cluster,NGC 6517,J1801-0857K,0.0095905,9.5905,8.18e-19,NGC 6517,-2.0181588,-18.087247,-10.052703,15.768058
freire,globular_cluster,NGC 6517,J1801-0857L,0.0060573,6.0573,-3.38e-20,NGC 6517,-2.2177209,-19.471083,-10.844402,16.952332
freire,globular_cluster,NGC 6517,J1801-0857M,0.0053568,5.3568,4.8586e-19,NGC 6517,-2.2710946,-18.313489,-10.292292,15.741364
freire,globular_cluster,NGC 6517,J1801-0857N,0.0049946,4.9946,-5.315e-19,NGC 6517,-2.3014993,-18.274497,-10.287998,15.671967
freire,globular_cluster,NGC 6517,J1801-0857O,0.0042871,4.2871,1.2139e-19,NGC 6517,-2.3678364,-18.915817,-10.641827,16.246951
freire,globular_cluster,NGC 6522,J1803-3002A,0.00710139,7.10139,4e-20,NGC 6522,-2.1486566,-19.39794,-10.773298,16.948253
freire,globular_cluster,NGC 6522,J1803-3002C,0.0058404,5.8404,6.973e-19,NGC 6522,-2.2335574,-18.15658,-10.195069,15.621993
freire,globular_cluster,NGC 6539,B1802-07,0.0231009,23.1009,4.7e-19,NGC 6539,-1.6363711,-18.327902,-9.9821366,16.390501
freire,globular_cluster,NGC 6544,J1807-2459A,0.00305945,3.05945,-4.335e-21,NGC 6544,-2.5143566,-20.363011,-11.438684,17.547624
freire,globular_cluster,NGC 6544,J1807-2500B,0.00418618,4.18618,8.23245e-20,NGC 6544,-2.3781821,-19.084471,-10.731326,16.405259
freire,globular_cluster,NGC 6624,B1820-30A,0.00544,5.44,3.385e-18,NGC 6624,-2.2644011,-17.470441,-9.8674212,14.90501
freire,globular_cluster,NGC 6624,J1823-3021G,0.00609129,6.09129,-1.8e-20,NGC 6624,-2.2152907,-19.744727,-10.980009,17.228407
freire,globular_cluster,M28 (NGC 6626),J1824-2452B,0.00654666,6.54666,-2.415e-19,M28 (NGC 6626),-2.1839802,-18.617083,-10.400532,16.132073
freire,globular_cluster,M28 (NGC 6626),J1824-2452C,0.00415828,4.15828,1.70158e-19,M28 (NGC 6626),-2.3810863,-18.769148,-10.575117,16.087031
freire,globular_cluster,M28 (NGC 6626),J1824-2452E,0.00541913,5.41913,-1.088e-19,M28 (NGC 6626),-2.2660704,-18.963371,-10.614721,16.396271
freire,globular_cluster,M28 (NGC 6626),J1824-2452F,0.00245115,2.45115,9.494e-21,M28 (NGC 6626),-2.6106301,-20.022551,-11.31659,17.110891
freire,globular_cluster,M28 (NGC 6626),J1824-2452G,0.00590906,5.90906,1.789e-19,M28 (NGC 6626),-2.2284816,-18.74739,-10.487936,16.217878
freire,globular_cluster,M28 (NGC 6626),J1824-2452H,0.00462941,4.62941,8.19e-20,M28 (NGC 6626),-2.3344744,-19.086716,-10.710595,16.451212
freire,globular_cluster,M28 (NGC 6626),J1824-2452J,0.00403969,4.03969,-7.57e-20,M28 (NGC 6626),-2.393652,-19.120904,-10.757278,16.426222
freire,globular_cluster,M28 (NGC 6626),J1824-2452M,0.00478428,4.78428,1.22818e-19,M28 (NGC 6626),-2.3201834,-18.910738,-10.615461,16.289525
freire,globular_cluster,M28 (NGC 6626),J1824-2452N,0.00335287,3.35287,1.59209e-19,M28 (NGC 6626),-2.4745833,-18.798032,-10.636308,16.022419
freire,globular_cluster,NGC 6652,J1835-3259B,0.00183029,1.83029,6.65e-20,NGC 6652,-2.7374801,-19.177178,-10.957329,16.138668
freire,globular_cluster,M22 (NGC 6656),J1836-2354A,0.00335434,3.35434,2.318e-21,M22 (NGC 6656),-2.4743929,-20.634887,-11.55464,17.859464
freire,globular_cluster,M22 (NGC 6656),J1836-2354B,0.00323227,3.23227,-4.8e-22,M22 (NGC 6656),-2.4904924,-21.318759,-11.904626,18.527236
freire,globular_cluster,NGC 6712,J1853-0842A,0.00214943,2.14943,-2.402e-21,NGC 6712,-2.6676767,-20.619427,-11.643552,17.65072
freire,globular_cluster,NGC 6752,J1911-5958A,0.00326619,3.26619,2.9679e-21,NGC 6752,-2.4859586,-20.527551,-11.506755,17.740562
freire,globular_cluster,NGC 6752,J1910-5959B,0.0083578,8.3578,-7.99e-19,NGC 6752,-2.077908,-18.097453,-10.087681,15.718515
freire,globular_cluster,NGC 6752,J1911-6000C,0.00527733,5.27733,2.2e-21,NGC 6752,-2.2775857,-20.657577,-11.467582,18.078962
freire,globular_cluster,NGC 6752,J1910-5959D,0.00903529,9.03529,9.63e-19,NGC 6752,-2.0440579,-18.016374,-10.030216,15.671286
