# Total number of pulsars: 350, in 46 globular clusters.

# Cluster/	Offset	Period (a)	dP/dt  (a,b)	DM		Pb	x	e	m2 (c)
# Pulsar	(arcmin)(ms)		(10-20)		(cm-3 pc)	(days)	(s)		(solar masses)

47 Tuc (NGC 104)
J1835-3259B	0.038	1.83029		6.65		63.5083(6)	1.19786	1.43084	0.0000349 0.201

M22 (NGC 6656)
J1836-2354A	0.68	3.35434		+0.2318(3)	89.107(2)	0.20283	0.0464	0.0	0.020
J1836-2354B	0.21	3.23227		-0.048(6)	93.3(2)		i	i	i       i	
J1836-2354C	*	5.64		*		87.869		*	*	*       *	
J1836-2354D	*	7.79		*		89.543		i	i	i       i	

M70 (NGC 6681)
J1843-3217A	*	3.93		*		70.6		i	i	i	i
J1843-3217B	*	4.44		*		71.1		i	i	i	i
J1843-3217C	*	6.06		*		71.1		*	*	*	*
J1843-3217D	*	6.37		*		71.51		i	i	i	i
J1843-3217E	*	5.05		*		71.53		i	i	i	i
J1843-3217F	*	6.94		*		70.77		*	*	*	*

Glimpse-C01
J1848-0129A *   19.78       *       491.1       *   *   *   *
J1848-0129B	*	13.8008		*	    481.95	1.29403	5.61683	0.008	0.983
J1848-0129C	*	6.44		*		489.2		*	*	*	*
J1848-0129D	*	17.10		*		458.0		*	*	*	*
J1848-0129E	*	4.54		*		479.97		*	*	*	*
J1848-0129F	*	4.17		*		520.1		*	*	*	*

NGC 6712
J1853-0842A	0.12	2.14943	-0.2402(3)	155.1407(2)	0.14828	0.04918	0	0.0257	

NGC 6749
J1905+0154A	*	3.193		 *		193.692(8)  	0.81255 0.5886  0.0  	0.090

NGC 6752
J1911-5958A	6.39	3.26619		+0.29679(6)	33.704(2)	0.83711	1.20604	0.00000082 0.22
J1910-5959B	0.10	8.35780		-79.9(5)	33.28(4)	i	i	i	i
J1911-6000C	2.70	5.27733		+0.22(7)	33.21(4)	i	i	i	i
J1910-5959D	0.19	9.03529		+96.3(3)	33.32(5)	i	i	i	i
J1910-5959E	0.13	4.57177		-43.7(1)	33.29(5)	i	i	i	i
J1910-5959F	0.082	8.48549		74.122(6)	33.20(3)	i	i	i	i
J1910-5959G	*		4.79		 *			33.3		i	i	i	i
J1910-5959H	*		2.01		 *			33.25		i	i	i	i
J1910-5959I	*		2.65		 *			33.33		i	i	i	i

NGC 6760
J1911+0102A	0.42	3.61852		-0.658		202.678(3)	0.140996 0.03766 <0.00013 0.020
J1911+0101B	0.12	5.38432		-0.2		196.69(2)	i	i	i	i

M71 (NGC 6838)
J1953+1846A	0.33	4.88830		+4.8502		117.334(2)	0.176795	0.078216	0.0				0.032
J1953+1846B	1.65	79.89931	+100.7(3)	119.17(6)	466.46888	165.83245	0.0019693(4)	0.49
J1953+1846C	1.81	28.93280	+4.04(4)	117.55(6)	378.23276	126.1360(6)	0.0003775(4)	0.41
